years,salary
1,456
3,1500
6,3985
3,1140
4,1687
1,333
6,3488
6,2855
1,499
3,1382
5,2574
3,1434
2,879
5,2566
1,345
3,1032
1,315
1,341
3,1146
6,3941
2,681
3,1238
6,3272
1,478
6,3639
1,452
1,377
1,264
6,3003
4,1693
5,2418
3,1384
5,2691
2,904
1,410
2,520
1,489
5,2445
6,3560
6,3648
4,1536
4,1538
6,3938
4,2096
2,564
2,764
3,1249
1,259
1,453
5,2252
3,1095
4,2050
2,556
2,745
2,638
4,1671
2,932
1,405
3,1238
5,2474
2,698
6,3240
3,1411
2,752
6,3705
6,3807
6,3452
2,927
3,1259
6,3930
1,257
1,315
3,1365
5,2692
4,1740
5,2453
3,1461
5,2657
5,2574
5,2773
2,713
6,3143
5,2715
5,2790
6,3645
5,2798
5,2519
1,448
1,389
4,1955
6,3398
2,901
3,1168
2,767
4,1770
1,460
2,575
1,366
5,2173
5,2167
1,1668
11,3514
3,4404
4,558
11,5778
4,629
5,4519
12,1296
2,5491
1,2608
10,5019
3,5817
11,5132
6,6454
5,5200
3,3682
4,4068
1,2412
8,567
1,1453
6,3556
9,5372
2,3485
4,1949
5,4738
1,2785
11,4642
10,4307
7,6475
6,3962
5,2961
9,2195
9,5305
5,508
5,6605
9,4819
7,6024
4,2606
4,5867
7,1587
9,4802
5,6216
10,2286
12,4311
5,2663
7,6654
7,6448
12,3052
10,1011
9,1830
11,1406
12,4528
7,2648
2,3605
2,2710
2,6345
2,5252
9,857
2,4699
10,6250
12,2476
9,2594
4,5430
1,3904
4,5744
9,5613
4,4407
2,5183
11,3087
5,3957
11,1906
4,5288
7,6651
6,3734
11,6637
9,4695
6,2396
2,5814
5,6640
3,6228
6,6238
12,3925
8,3540
4,3589
3,1066
9,4732
11,1807
2,2595
1,924
12,5648
4,4013
12,2890
1,4372
6,4793
1,5309
4,6001
9,2585
6,2985
7,5377
6,710
2,6204
8,3516
10,3058
3,5103
10,3115
7,4764
5,2438
12,2219
11,4166
5,5329
1,3413
11,679
4,6557
5,516
12,6140
7,1481
3,3633
7,1494
6,6358
6,1509
7,780
11,5642
1,2261
7,4491
11,4731
3,5172
12,6507
6,659
6,6391
11,2836
11,825
12,6257
5,1876
4,2832
9,1562
5,3744
4,4920
11,1024
6,2168
1,5944
1,4370
3,4543
11,5015
3,4101
11,6469
8,5030
5,3676
12,1398
5,3870
9,4201
6,3529
6,3367
9,1046
4,4015
8,6311
7,775
6,5131
11,982
11,2269
1,5840
6,1848
9,6426
3,3775
5,5151
10,6317
9,4251
12,4376
8,4236
4,1540
10,3700
10,1447
9,1806
6,6384
5,4737
5,1455
8,3941
10,4055
8,3516
11,3794
5,2507
5,2249
2,3115
3,5355
12,6685
1,5375
11,3764
8,2768
5,4746
5,5263
11,3155
5,6179
6,2877
12,4982
8,730
6,4623
6,4379
1,2704
2,4606
12,5740
12,1412
12,5467
2,2068
10,1411
4,1294
5,949
12,1555
11,5466
10,2704
10,5140
2,4291
10,2341
5,6680
11,4755
2,2526
4,4559
12,2368
4,4629
8,1343
6,5667
7,4230
4,1987
10,6062
10,4884
6,678
12,1331
11,5841
4,4045
11,2115
4,4504
6,5801
7,6542
4,5999
2,2153
4,6093
3,4695
3,6383
8,3914
2,4586
10,6509
6,2841
3,3336
6,1287
9,6229
11,3559
12,6361
9,4904
6,1153
11,5346
12,1502
7,1008
5,2109
11,3150
11,6020
12,4976
5,3385
11,3377
9,4505
5,2506
10,1415
9,996
9,3557
11,793
11,3715
11,6031
7,5383
10,2175
5,5706
5,5856
1,6208
7,2508
10,3527
6,2296
2,2987
7,5676
6,5572
11,2119
10,6323
8,6244
8,710
1,1887
6,6599
12,723
4,2786
2,6471
4,3450
9,3684
2,1646
8,6502
1,4806
4,5935
10,5034
12,1249
1,4023
5,6280
3,2007
6,2651
1,4580
7,6524
1,1507
6,1080
12,1087
1,2428
5,6416
9,1976
7,1505
4,2075
8,1539
7,3482
4,4335
6,2562
3,1234
6,550
12,3827
2,1257
8,6339
8,1772
1,4241
2,2287
4,5505
8,5442
8,2933
10,2009
6,3464
1,944
10,2028
11,4458
10,4264
6,1290
1,724
5,5137
2,1025
9,5384
11,4709
10,3552
1,3344
4,5316
10,2899
8,3856
6,5573
1,3479
7,5031
8,583
6,1994
10,4553
4,5332
9,5534
5,1678
1,2515
8,1830
10,4559
4,6169
1,5969
6,5858
12,843
7,5600
4,2270
8,6402
12,6518
11,1166
9,2576
8,6454
12,4882
6,6070
6,4347
4,751
3,2248
8,2038
6,1117
9,1180
5,2231
11,4452
2,1357
1,2141
4,5240
5,1070
9,1105
9,4662
5,4858
8,4192
4,4469
10,2882
2,2331
11,1308
7,3556
9,2535
7,3359
4,4586
11,6336
12,6298
10,6676
10,5763
8,875
3,6440
3,1781
8,1463
5,1965
12,2980
7,3305
11,3031
12,5763
9,1999
3,3179
11,6113
9,983
8,2481
11,1185
3,4339
3,3416
11,1528
5,3895
6,4937
11,5272
8,5767
11,3519
8,6393
5,5480
7,902
7,2624
12,607
9,880
5,794
10,4610
12,566
11,6364
9,1543
6,620
6,3964
12,6093
6,5347
5,1143
4,6000
11,3598
3,4816
11,3618
5,2779
9,3743
4,653
12,5650
11,5660
6,5627
1,4138
8,3914
7,3487
1,6168
11,925
9,4415
6,4993
7,2184
7,3657
4,4059
7,6258
2,605
10,2108
6,5726
5,4874
8,2622
7,5924
11,3155
6,5216
5,6072
6,4362
10,3171
5,6384
1,2215
6,5981
1,1734
8,2942
10,1884
6,5661
9,4704
3,2162
7,6187
8,4723
6,6094
7,5622
3,3111
10,2589
1,1686
1,1006
4,6020
7,4128
11,1732
10,1190
9,6672
8,607
9,4275
4,3570
9,2035
12,1161
3,4581
3,6485
5,4169
10,1369
11,3995
9,4138
2,1064
1,6426
6,633
6,2633
4,2435
12,4490
5,545
2,6548
2,1231
5,6675
5,4936
11,5188
5,6519
10,1593
2,1430
7,2028
7,5299
2,5142
3,2548
3,2648
5,1611
1,2634
6,5851
5,522
6,2300
